Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.290785498489426, 0.25, 0.5,  0.9631108516123242)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.2507861635220126, 0.25, 0.6,  0.9611685671909607)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.24803767660910517, 0.25, 0.8,  0.9594576678173936)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.2765793528505393, 0.25, 0.6,  0.9595873603330047)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.2542901716068643, 0.25, 0.6,  0.9609702325760543)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.3112062812276945, 0.25, 0.42857142857142855,  0.9612083271538268)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.24842767295597484, 0.25, 0.6,  0.9609351618315766)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.290785498489426, 0.25, 0.5,  0.9631711563301305)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.2617924528301887, 0.25, 0.5,  0.9623467666174629)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.2476489028213166, 0.25, 0.6,  0.9616639662798208)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.21215780998389694, 0.25, 0.9259259259259259,  0.9678095873510559)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.21015067406819984, 0.25, 0.9259259259259259,  0.9659008847205454)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.11252446183953033, 0.3333333333333333, 1.0,  0.9717908878293686)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.1168958742632613, 0.3333333333333333, 1.0,  0.9716557952648321)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.12574257425742574, 0.3333333333333333, 1.0,  0.9718921747070245)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.11252446183953033, 0.3333333333333333, 1.0,  0.9717908878293686)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.1168958742632613, 0.3333333333333333, 1.0,  0.9716557952648321)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.1168958742632613, 0.3333333333333333, 1.0,  0.9716557952648321)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.1168958742632613, 0.3333333333333333, 1.0,  0.9716557952648321)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.1168958742632613, 0.3333333333333333, 1.0,  0.9716557952648321)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.1168958742632613, 0.3333333333333333, 1.0,  0.9716557952648321)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.1168958742632613, 0.3333333333333333, 1.0,  0.9716557952648321)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.15944700460829492, 0.25, 1.0,  0.9705050056760947)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.26819620253164556, 0.25, 0.25,  0.9689657884453814)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.07592407592407592, 0.3333333333333333, 0.5,  0.9690216454660927)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.23490488006617039, 0.25, 0.25,  0.9694448217924359)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.2900997697620875, 0.25, 0.25,  0.9704612569461153)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.2801556420233463, 0.25, 0.25,  0.9688261451457028)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.20120898100172713, 0.25, 0.3333333333333333,  0.9693465962785168)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.2647058823529412, 0.25, 0.25,  0.969038872057598)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.07592407592407592, 0.3333333333333333, 0.5,  0.9690216454660927)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.26, 0.25, 0.25,  0.9681582120114401)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.1819571865443425, 0.5, 1.0,  0.9620290426421743)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.1819571865443425, 0.5, 1.0,  0.9620290426421743)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.1819571865443425, 0.5, 1.0,  0.9620290426421743)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.1819571865443425, 0.5, 1.0,  0.9620290426421743)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.1819571865443425, 0.5, 1.0,  0.9620290426421743)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.1819571865443425, 0.5, 1.0,  0.9620290426421743)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.1819571865443425, 0.5, 1.0,  0.9620301312455963)
